City,Temperature_C,Population_Density,Green_Cover_%,Industrial_Activity_Level,Vehicular_Emissions_Index,Humidity_%,Land_Surface_Temperature_C,Nighttime_Temperature_C,UHI_Effect_Severity
Mumbai,32.95,8999,6.6,Low,124.23,74.22,37.84,30.75,Low
Delhi,44.09,26034,38.09,High,74.16,47.09,51.4,40.6,High
Delhi,40.89,28011,10.03,Medium,273.67,57.7,47.17,38.37,High
Chennai,35.68,8408,36.61,Low,219.28,56.06,42.9,32.72,Medium
Chennai,23.48,18807,7.93,Low,212.03,86.85,29.52,20.69,Low
Chennai,33.19,13962,33.79,Medium,64.73,61.4,35.46,30.28,Medium
Delhi,48.52,21632,10.32,Medium,254.47,74.52,56.32,46.82,High
Bangalore,33.85,18385,6.33,Low,191.51,70.12,41.35,31.73,Medium
Pune,40.52,29948,30.18,Medium,261.97,47.05,43.28,39.36,High
Bangalore,42.21,10950,14.81,Medium,293.64,86.98,44.89,39.45,High
Bangalore,36.09,7926,30.01,Medium,289.28,57.29,41.33,33.72,Medium
Delhi,30.79,12975,24.43,Low,264.02,42.24,37.33,27.51,Low
Bangalore,22.82,25241,8.81,Medium,52.74,55.02,27.12,21.2,Low
Mumbai,38.42,26314,37.62,Low,271.43,56.78,41.24,36.11,High
Chennai,30.93,28398,20.83,Medium,68.77,44.64,35.99,29.38,Low
Mumbai,35.88,11966,30.71,Medium,262.8,71.0,39.91,33.04,Medium
Pune,28.75,14133,22.54,High,120.04,57.34,32.86,25.21,Low
Chennai,33.67,11587,26.15,Medium,202.52,71.46,39.54,30.38,Medium
Bangalore,35.17,27880,15.6,Low,59.52,40.34,42.48,31.34,Medium
Pune,36.34,10091,12.01,Medium,242.8,89.1,41.69,32.43,Medium
Chennai,29.43,13985,23.99,Medium,77.93,48.53,35.55,26.11,Low
Bangalore,40.98,22061,20.41,High,152.67,72.97,46.94,39.12,High
Mumbai,32.02,27293,18.65,High,254.36,75.79,37.32,30.36,Low
Chennai,26.63,6561,28.54,Low,223.84,48.58,30.49,24.29,Low
Bangalore,34.45,25437,29.17,Low,51.51,45.59,38.72,30.47,Medium
Mumbai,35.17,13644,6.61,Low,150.76,47.63,39.07,32.93,Medium
Pune,35.8,19785,16.86,Medium,60.48,52.34,43.31,34.21,Medium
Pune,41.81,8656,19.41,Low,218.37,48.41,48.77,37.98,High
Pune,33.82,26618,8.39,Low,292.24,73.7,39.29,31.66,Medium
Pune,34.4,25530,13.26,Medium,213.82,61.04,41.88,31.33,Medium
Delhi,29.48,26872,6.81,Low,106.09,66.89,36.8,26.12,Low
Chennai,39.1,29465,39.87,Low,138.81,42.37,46.67,35.57,High
Chennai,35.92,21139,30.78,Medium,294.16,83.06,39.25,32.46,Medium
Delhi,32.9,5209,8.06,Low,106.01,48.53,39.2,29.39,Low
Bangalore,25.48,9983,5.71,Medium,190.38,58.01,31.13,22.47,Low
Bangalore,42.22,12141,30.18,High,150.11,43.6,48.63,40.01,High
Pune,28.86,15118,20.37,Low,242.08,46.84,32.44,25.86,Low
Mumbai,32.04,21261,32.54,Medium,266.85,73.29,38.21,28.53,Low
Bangalore,36.79,26329,37.32,High,135.21,74.63,41.25,34.74,Medium
Mumbai,29.02,29364,25.98,High,215.1,73.85,36.02,27.13,Low
Chennai,27.53,8966,11.55,Medium,187.26,67.61,34.3,25.5,Low
Mumbai,24.38,15069,32.38,Medium,119.61,87.63,27.65,21.73,Low
Chennai,38.6,13818,38.45,Low,117.99,65.36,41.71,37.45,High
Delhi,32.27,15918,25.31,Medium,184.66,62.47,38.58,28.94,Low
Delhi,49.64,14650,28.87,High,88.5,52.38,54.94,48.22,High
Pune,30.03,24208,16.81,Medium,252.7,44.94,35.37,28.63,Low
Bangalore,30.39,6250,18.35,Medium,67.25,67.41,36.91,28.8,Low
Pune,32.17,9758,30.71,Low,73.64,55.74,39.3,29.44,Low
Chennai,36.22,9363,37.47,Medium,135.56,66.2,39.65,34.36,Medium
Pune,32.65,7163,27.01,Medium,79.52,50.31,37.98,30.54,Low
Mumbai,38.06,14815,32.64,Medium,168.93,81.91,45.04,34.27,High
Chennai,30.11,6853,11.01,Low,149.92,89.98,37.34,26.57,Low
Delhi,28.09,22137,12.42,Medium,230.45,56.12,31.82,24.54,Low
Bangalore,26.01,26832,23.62,Medium,288.25,82.12,28.63,23.28,Low
Chennai,23.88,6868,11.18,Low,238.39,83.65,27.28,20.28,Low
Chennai,32.41,21565,27.22,Low,94.86,89.8,40.08,29.07,Low
Mumbai,33.5,22897,15.21,Low,283.88,57.14,38.27,29.64,Medium
Bangalore,31.84,20568,32.7,Medium,148.03,77.8,36.35,30.65,Low
Delhi,41.22,14094,33.28,Medium,168.55,51.44,43.3,40.13,High
Chennai,41.14,24728,21.23,High,155.39,71.24,43.45,39.62,High
Chennai,33.33,10238,11.33,Low,120.14,75.24,39.34,29.54,Medium
Mumbai,26.03,12089,27.64,High,273.76,77.06,31.57,23.21,Low
Pune,32.17,27785,39.75,Medium,133.06,50.36,37.62,29.89,Low
Delhi,32.0,23940,26.79,Medium,194.65,82.44,34.66,29.46,Low
Bangalore,31.71,27482,6.25,Low,110.01,61.05,35.83,28.23,Low
Chennai,31.51,10280,5.61,Low,249.34,50.82,38.39,27.72,Low
Chennai,31.73,9244,16.21,High,243.55,67.13,34.78,28.54,Low
Delhi,33.07,7164,11.85,Medium,124.08,83.17,40.36,29.79,Medium
Pune,31.82,27985,33.46,Medium,220.39,88.35,34.55,29.86,Low
Chennai,36.04,20149,34.57,Low,225.97,77.41,39.06,33.64,Medium
Delhi,36.8,19088,14.05,High,190.63,40.28,41.67,33.15,Medium
Mumbai,30.45,23405,16.4,Low,200.15,46.74,38.12,27.09,Low
Pune,41.36,7821,13.27,Medium,193.61,43.81,45.33,38.3,High
Bangalore,30.1,27322,36.79,Medium,70.47,45.06,36.05,28.9,Low
Chennai,26.91,27516,22.59,Medium,217.57,59.15,32.44,25.79,Low
Delhi,36.9,15473,27.96,Medium,167.44,56.92,39.8,35.51,Medium
Mumbai,30.91,18686,19.54,Medium,159.61,45.68,34.4,28.17,Low
Bangalore,36.61,14762,27.09,High,265.0,84.11,44.19,34.0,Medium
Delhi,22.98,10969,18.5,High,55.81,70.77,26.09,19.15,Low
Delhi,41.96,17178,16.89,Medium,112.83,79.82,48.13,38.88,High
Bangalore,38.36,11168,27.21,Low,80.35,58.58,46.15,36.48,High
Mumbai,27.5,22097,25.69,Medium,58.84,60.51,30.21,26.01,Low
Mumbai,27.61,19096,15.27,Low,118.92,55.88,32.0,24.06,Low
Pune,43.36,12203,10.23,Low,297.12,61.92,46.7,40.98,High
Chennai,31.31,8545,17.9,High,117.56,70.52,34.64,28.35,Low
Bangalore,30.83,29798,19.53,High,215.93,64.65,33.54,28.13,Low
Bangalore,23.67,5863,27.0,Medium,79.57,81.9,29.57,22.35,Low
Bangalore,33.25,21148,37.01,High,200.46,85.01,39.72,32.07,Medium
Mumbai,33.86,26009,6.27,High,296.12,63.48,39.92,31.73,Medium
Chennai,38.58,26691,13.53,Medium,122.96,51.99,46.13,36.49,High
Pune,28.0,22809,11.78,Medium,262.02,87.26,30.88,24.98,Low
Delhi,27.4,23688,22.58,Medium,299.39,76.75,31.32,24.5,Low
Delhi,37.25,5653,20.04,Low,197.14,72.01,41.32,33.35,Medium
Bangalore,40.03,13129,30.52,Low,127.35,77.27,43.43,36.46,High
Chennai,27.14,28118,13.48,Medium,218.38,43.8,30.0,24.65,Low
Mumbai,40.41,5443,25.81,Medium,261.21,43.38,45.33,37.91,High
Chennai,35.19,28843,35.94,Low,92.84,47.66,42.19,32.17,Medium
Chennai,40.46,26053,36.87,Medium,163.13,47.37,48.19,39.12,High
Mumbai,34.65,10106,38.56,Medium,129.8,61.03,37.42,30.65,Medium
Bangalore,22.39,9436,32.06,High,120.84,47.87,29.33,19.83,Low
Chennai,34.24,24241,36.71,Medium,265.21,82.73,41.19,30.51,Medium
Delhi,40.3,14472,13.21,Medium,155.41,68.9,44.63,36.4,High
Mumbai,30.53,8039,11.92,High,134.77,58.41,33.19,27.79,Low
Pune,33.06,13291,5.23,High,200.88,43.48,41.0,31.75,Medium
Bangalore,34.12,15278,29.74,Medium,104.85,69.55,40.05,31.4,Medium
Mumbai,20.5,21285,37.81,High,107.47,45.83,28.4,17.71,Low
Pune,43.36,18944,11.54,Medium,180.07,77.16,48.26,39.99,High
Pune,30.49,7737,27.29,Low,152.32,80.14,34.86,29.35,Low
Chennai,37.53,28340,31.13,Low,123.75,67.2,41.01,35.13,Medium
Chennai,34.57,26623,37.47,Medium,63.49,47.48,42.47,30.8,Medium
Chennai,41.29,6607,27.64,Medium,180.19,79.34,44.81,37.31,High
Mumbai,37.03,7953,38.96,Medium,254.15,55.39,39.17,35.46,Medium
Mumbai,33.83,17173,17.06,Medium,262.84,51.13,38.9,30.21,Medium
Bangalore,30.53,10933,17.25,Low,108.86,63.53,34.79,29.09,Low
Chennai,38.99,16386,24.01,Low,199.91,86.13,42.56,35.47,High
Pune,25.63,20221,18.42,Medium,263.97,54.87,31.44,23.8,Low
Delhi,38.23,9682,5.05,Low,152.18,85.28,42.42,34.35,High
Bangalore,29.5,19853,30.61,Medium,283.03,42.68,33.92,26.42,Low
Mumbai,41.26,16284,31.31,Medium,275.74,44.18,43.4,39.06,High
Bangalore,35.81,27717,31.14,Medium,102.03,74.93,41.34,33.96,Medium
Bangalore,38.22,28776,17.08,Medium,114.74,49.53,40.95,36.51,High
Bangalore,35.41,16154,23.28,Medium,95.11,55.83,38.69,32.37,Medium
Bangalore,26.24,14047,17.6,High,99.01,46.82,32.54,22.55,Low
Delhi,30.7,27993,5.56,High,276.97,56.61,34.58,27.43,Low
Chennai,38.36,15338,24.69,High,282.78,54.02,41.34,34.86,High
Pune,35.83,19323,9.33,Medium,62.97,76.82,41.3,32.49,Medium
Bangalore,40.9,9925,7.8,Low,198.4,75.1,44.19,36.97,High
Bangalore,37.02,28634,31.44,Medium,191.06,87.75,40.64,33.74,Medium
Bangalore,30.17,10783,5.33,High,147.64,76.22,35.89,28.54,Low
Chennai,31.02,17343,38.57,Low,207.92,74.74,37.46,27.64,Low
Mumbai,35.51,14917,23.03,Low,286.84,74.71,41.95,33.55,Medium
Mumbai,23.43,15145,39.41,Low,92.56,84.15,28.32,19.44,Low
Delhi,43.37,11723,7.03,Medium,80.1,54.81,48.09,41.24,High
Mumbai,37.21,21568,25.42,Medium,58.35,55.0,43.93,35.33,Medium
Bangalore,41.14,21905,17.23,Low,140.96,77.06,44.29,39.42,High
Bangalore,27.1,22632,34.52,High,134.41,51.44,30.01,24.12,Low
Bangalore,41.22,18349,17.64,Medium,157.7,85.6,47.21,39.9,High
Delhi,46.16,6002,14.12,Medium,175.83,66.74,50.61,42.3,High
Bangalore,28.4,11266,35.01,Medium,239.46,55.01,34.66,26.51,Low
Mumbai,38.86,27828,18.11,Low,148.03,78.8,42.4,36.97,High
Chennai,35.01,16330,5.59,Medium,132.65,55.62,38.95,33.87,Medium
Chennai,27.28,19980,18.66,Medium,256.72,88.16,34.66,25.54,Low
Pune,37.46,12017,27.91,Medium,262.45,89.15,41.99,35.21,Medium
Mumbai,39.17,13585,13.9,Medium,108.19,73.34,44.71,37.06,High
Bangalore,31.99,21011,20.12,Medium,128.67,45.68,34.63,30.18,Low
Chennai,40.83,23001,6.99,Low,256.28,53.16,43.9,39.71,High
Mumbai,26.67,22044,25.58,Medium,69.85,65.77,28.88,24.76,Low
Chennai,27.53,10524,31.47,High,131.46,82.57,32.07,24.19,Low
Bangalore,35.68,29000,19.47,Low,162.09,49.24,43.62,33.37,Medium
Chennai,35.13,10250,19.71,Low,96.77,45.22,42.37,33.25,Medium
Pune,31.42,12512,8.09,Medium,94.98,43.72,37.21,29.5,Low
Pune,39.05,28289,12.07,Medium,156.22,65.35,46.21,36.38,High
Chennai,37.65,5319,10.41,Low,238.63,84.24,43.22,35.75,Medium
Mumbai,39.29,15416,21.86,Medium,260.06,42.12,43.5,36.4,High
Mumbai,34.38,8600,23.52,Medium,294.81,50.62,37.43,30.42,Medium
Mumbai,38.01,27344,38.21,High,68.5,74.66,43.93,36.89,High
Chennai,32.77,10279,7.56,Low,104.17,81.29,35.93,31.27,Low
Mumbai,45.27,23151,26.0,Medium,239.16,80.37,49.77,43.73,High
Bangalore,30.94,20494,23.43,Low,185.15,79.25,37.89,28.6,Low
Pune,45.53,23182,23.07,Medium,131.92,46.49,48.3,44.4,High
Bangalore,35.17,17398,35.56,Medium,101.4,59.86,37.95,32.74,Medium
Mumbai,28.12,5282,12.19,Medium,120.12,89.24,31.47,24.34,Low
Bangalore,41.84,19030,6.43,High,157.32,89.44,47.15,40.81,High
Mumbai,35.63,27721,28.53,Low,94.29,70.12,39.14,33.53,Medium
Chennai,39.26,20302,17.08,Medium,291.06,75.46,44.27,35.97,High
Bangalore,41.12,10166,5.62,Low,76.9,87.56,44.93,39.66,High
Chennai,36.69,12121,13.8,Medium,296.39,62.5,41.73,35.46,Medium
Chennai,32.04,19677,15.83,Low,260.47,46.84,35.7,29.15,Low
Delhi,39.88,28793,26.59,High,155.79,73.45,47.76,38.85,High
Mumbai,35.0,21373,11.04,High,234.95,88.01,39.96,31.6,Medium
Pune,38.43,26873,19.46,High,217.88,74.86,44.89,37.23,High
Mumbai,24.23,9896,21.89,Low,103.32,80.17,30.43,21.66,Low
Pune,37.23,21514,21.07,Medium,134.77,61.14,42.18,34.01,Medium
Mumbai,31.81,6293,39.09,Low,178.28,44.82,35.24,30.08,Low
Chennai,43.27,27443,6.59,High,209.46,48.44,48.33,41.96,High
Bangalore,38.12,11957,38.28,Medium,185.72,89.13,44.2,36.59,High
Bangalore,36.2,21444,25.37,Medium,168.25,64.66,40.96,32.64,Medium
Delhi,37.43,23595,32.85,Medium,160.79,40.6,39.92,34.31,Medium
Pune,30.01,14740,20.06,Low,174.57,87.77,32.12,28.41,Low
Pune,43.12,17559,20.88,Medium,158.59,64.89,47.08,39.97,High
Pune,44.96,14973,35.78,Low,185.33,81.81,47.86,41.83,High
Chennai,36.96,11276,36.36,High,272.0,67.42,44.4,32.97,Medium
Pune,42.95,26747,13.35,High,208.21,45.09,46.01,40.78,High
Bangalore,32.15,13152,11.97,Medium,230.66,70.78,36.52,28.56,Low
Chennai,31.01,12973,22.37,High,199.37,89.87,37.29,28.68,Low
Mumbai,35.2,20333,36.51,Medium,210.75,41.74,42.1,31.51,Medium
Pune,37.17,5037,16.28,High,194.59,82.09,42.04,35.9,Medium
Pune,33.03,10990,27.82,Medium,56.72,51.77,36.12,31.5,Medium
Mumbai,37.69,10438,29.79,Medium,299.9,59.69,41.31,34.14,Medium
Pune,36.53,29061,32.25,Medium,58.4,58.64,41.05,33.07,Medium
Mumbai,30.01,20735,24.74,Low,148.79,84.94,34.2,28.09,Low
Chennai,37.59,15856,19.09,Medium,76.28,65.22,41.69,34.8,Medium
Bangalore,39.32,5473,38.85,Low,74.23,62.36,42.11,37.17,High
Mumbai,35.86,5058,26.4,High,248.38,80.9,43.34,34.83,Medium
Delhi,40.76,7636,30.5,Low,156.48,42.45,42.94,39.68,High
Mumbai,28.91,19834,17.07,Medium,250.28,44.32,33.55,27.75,Low
Pune,37.34,20577,28.45,Medium,118.2,41.08,45.22,34.56,Medium
Chennai,29.15,23998,14.02,Low,114.12,74.4,35.11,27.31,Low
Chennai,29.43,12296,13.58,Medium,112.81,66.28,33.56,28.0,Low
Mumbai,31.85,26383,30.02,Medium,204.04,83.8,34.72,28.02,Low
Bangalore,30.29,17670,23.25,Low,253.75,64.93,38.07,28.93,Low
Delhi,32.26,29660,28.91,Medium,163.07,51.09,34.34,29.24,Low
Chennai,33.93,14725,14.43,Low,144.81,80.26,40.02,30.25,Medium
Pune,39.19,25181,25.96,Low,293.39,54.72,46.47,37.69,High
Pune,33.39,7674,20.54,Medium,79.19,86.78,35.55,31.75,Medium
Bangalore,27.07,20796,25.89,Medium,171.66,52.52,33.42,24.35,Low
Chennai,40.7,16065,15.18,High,152.12,48.39,48.69,38.17,High
Mumbai,30.81,27820,30.04,High,74.53,64.67,36.65,28.25,Low
Pune,34.71,24504,33.21,Medium,117.05,42.53,39.19,32.04,Medium
Bangalore,37.23,16026,14.1,Medium,57.11,41.82,44.48,33.38,Medium
Chennai,36.0,7076,15.52,Medium,269.24,64.8,41.32,34.84,Medium
Chennai,40.47,24574,28.14,Low,201.96,50.76,46.97,37.19,High
Chennai,37.4,9787,29.35,Medium,253.75,40.47,42.92,35.7,Medium
Chennai,30.69,27440,29.64,High,180.39,54.8,32.92,28.57,Low
Chennai,45.89,12494,28.89,Medium,199.88,63.87,49.17,44.62,High
Pune,35.97,24961,18.75,Low,225.21,59.71,38.44,33.63,Medium
Bangalore,34.26,26125,18.82,Medium,277.0,46.77,36.9,30.85,Medium
Chennai,39.82,28216,13.92,Low,72.94,68.98,41.91,38.52,High
Delhi,36.25,7581,10.49,Medium,132.74,75.52,40.77,34.42,Medium
Delhi,37.0,20600,29.24,Medium,227.26,73.78,40.07,34.88,Medium
Bangalore,47.46,25171,8.26,Medium,289.59,59.69,54.6,46.15,High
Mumbai,33.62,19333,37.82,Medium,295.2,46.88,40.12,30.34,Medium
Mumbai,33.41,28487,33.93,High,209.53,64.97,38.85,30.05,Medium
Mumbai,35.58,15404,35.01,Low,98.4,84.52,40.52,32.08,Medium
Delhi,40.36,16166,36.73,High,79.8,63.44,43.89,37.61,High
Mumbai,27.47,5932,19.3,Medium,286.51,49.78,32.32,24.95,Low
Pune,25.17,23047,34.63,High,158.48,44.65,31.02,23.38,Low
Chennai,32.06,13748,10.53,Medium,98.7,87.2,38.76,29.1,Low
Delhi,26.83,20577,5.76,Low,283.47,77.15,29.32,24.5,Low
Bangalore,32.88,29298,32.47,High,76.13,55.65,39.13,28.96,Low
Bangalore,37.51,20015,7.62,Medium,232.39,54.77,43.97,33.61,Medium
Chennai,30.55,21108,39.6,Low,206.32,84.76,35.9,26.83,Low
Delhi,27.87,26236,28.62,Low,71.93,48.88,31.15,25.79,Low
Mumbai,35.35,6104,31.37,Medium,134.69,66.75,40.58,33.24,Medium
Mumbai,39.31,22654,13.6,Medium,87.48,75.68,44.33,35.75,High
Pune,26.53,17936,28.59,Medium,201.12,59.82,31.38,23.34,Low
Pune,39.1,14601,6.51,Medium,169.28,42.0,43.87,35.99,High
Mumbai,39.09,8646,34.32,Medium,51.07,51.39,41.75,37.25,High
Bangalore,39.77,26471,10.94,Medium,293.93,85.09,42.87,36.27,High
Bangalore,41.09,26107,29.41,Medium,137.4,66.16,43.68,38.35,High
Pune,46.01,19960,12.86,Low,114.55,80.77,49.46,43.67,High
Chennai,33.22,19878,7.4,High,105.61,67.78,36.8,29.62,Medium
Mumbai,35.55,23438,21.85,Low,89.7,87.18,39.02,33.37,Medium
Pune,32.92,14145,10.93,Medium,299.78,85.46,36.18,29.96,Low
Pune,35.01,28042,30.53,Medium,123.78,64.14,41.42,32.61,Medium
Mumbai,42.66,23226,13.31,Medium,151.38,55.91,49.58,39.89,High
Mumbai,28.27,7802,16.99,Low,267.84,70.08,32.24,27.15,Low
Bangalore,30.69,29119,24.86,Low,210.47,73.74,34.53,28.31,Low
Chennai,41.89,29585,14.97,Medium,142.17,64.92,48.95,39.22,High
Chennai,40.1,21365,18.23,High,274.58,81.11,45.84,37.62,High
Mumbai,33.18,29697,33.55,Medium,237.43,49.17,36.94,29.64,Medium
Delhi,39.27,11105,11.27,Medium,106.98,56.72,45.55,37.34,High
Pune,36.71,23944,7.88,Medium,210.93,74.32,40.77,33.05,Medium
Pune,42.5,24421,16.49,Low,280.6,52.33,48.02,40.29,High
Mumbai,35.37,7749,19.85,Low,174.12,61.99,43.33,32.29,Medium
Delhi,40.13,21974,23.99,Low,233.4,88.19,43.94,38.87,High
Bangalore,48.21,22752,18.03,Medium,292.78,71.29,55.79,46.61,High
Mumbai,37.99,15181,32.65,Low,222.6,87.45,41.91,34.71,Medium
Mumbai,35.25,6361,6.38,Low,75.61,76.12,40.49,34.21,Medium
Pune,38.61,29512,20.11,Medium,111.14,76.23,43.37,34.71,High
Mumbai,33.17,8773,18.38,High,198.77,69.59,39.87,31.6,Medium
Mumbai,46.94,18495,27.67,High,118.89,47.11,49.31,43.24,High
Mumbai,35.9,7064,38.82,Medium,289.39,65.99,41.66,33.35,Medium
Pune,33.64,23799,22.86,Low,151.34,52.63,40.2,30.94,Medium
Bangalore,30.82,24335,39.54,Medium,164.31,89.93,35.65,29.57,Low
Bangalore,40.49,10616,15.58,Low,225.4,53.35,43.12,38.39,High
Mumbai,39.34,12975,6.08,Medium,181.06,51.53,42.8,37.87,High
Pune,32.51,15960,10.8,Medium,145.54,71.19,38.59,29.94,Low
Bangalore,37.88,28485,18.83,Medium,69.16,65.55,45.25,35.23,Medium
Bangalore,27.46,26387,16.07,High,199.11,41.07,31.99,24.33,Low
Bangalore,35.92,20324,8.4,Medium,266.9,46.48,41.29,32.29,Medium
Pune,37.26,29690,20.14,Medium,221.44,80.55,40.63,34.86,Medium
Pune,43.54,11243,16.83,Low,145.37,64.18,48.01,41.84,High
Mumbai,31.15,27965,9.29,High,81.93,47.3,35.17,29.15,Low
Chennai,28.61,14560,15.36,Low,254.08,63.26,34.54,25.07,Low
Bangalore,30.52,19684,36.03,High,285.44,52.66,38.43,29.09,Low
Chennai,28.32,13330,15.57,Medium,147.07,51.18,35.2,25.44,Low
Pune,41.68,9923,29.99,Low,232.16,87.89,44.84,40.64,High
Pune,42.74,11467,26.42,High,152.69,58.1,48.21,41.01,High
Pune,36.6,26325,19.95,Low,175.57,42.32,39.0,33.83,Medium
Chennai,41.11,27821,13.37,High,259.12,88.52,44.59,38.74,High
Pune,35.67,11076,17.92,Low,70.86,79.74,38.7,33.19,Medium
Mumbai,34.52,27032,25.72,High,182.58,52.72,38.54,31.54,Medium
Pune,33.33,13001,17.28,Medium,103.66,60.44,39.41,31.63,Medium
Delhi,33.45,20303,12.52,Medium,134.95,83.11,38.44,31.61,Medium
Chennai,27.26,22699,9.08,Medium,211.11,57.87,34.86,24.21,Low
Delhi,36.32,21457,35.79,Low,56.81,68.37,39.6,33.71,Medium
Pune,34.8,13675,20.41,High,198.46,66.74,38.98,33.75,Medium
Mumbai,38.73,17303,26.88,Low,120.86,60.06,42.71,35.72,High
Bangalore,35.47,22933,22.16,Medium,217.37,71.98,38.88,32.61,Medium
Pune,34.19,22743,35.54,Medium,85.4,63.66,42.15,32.95,Medium
Mumbai,30.64,20128,24.14,Medium,233.95,41.06,34.97,27.4,Low
Chennai,35.36,23280,21.83,Low,211.41,80.72,43.0,32.79,Medium
Delhi,38.69,11659,37.36,Low,292.81,45.66,43.03,37.08,High
Delhi,29.28,10246,30.19,Low,277.81,63.2,32.51,26.61,Low
Delhi,35.44,11967,8.9,High,120.83,69.0,38.15,32.65,Medium
Chennai,36.17,11661,11.22,Low,56.83,75.28,43.3,32.4,Medium
Mumbai,31.41,17416,32.55,High,213.84,60.54,33.6,28.18,Low
Chennai,32.06,5510,34.25,Low,200.72,76.78,39.85,30.15,Low
Delhi,36.15,13614,24.08,Low,56.86,46.57,40.66,34.8,Medium
Pune,29.33,7432,24.41,Medium,80.67,72.67,32.82,25.77,Low
Bangalore,36.75,6906,27.12,Low,196.18,81.32,42.45,33.21,Medium
Chennai,30.52,20554,20.37,Medium,277.96,84.47,33.32,29.0,Low
Chennai,40.31,21448,28.81,High,276.63,68.98,42.75,39.13,High
Mumbai,46.69,9928,8.8,Low,87.87,55.64,53.66,43.55,High
Mumbai,30.7,9710,38.64,Medium,146.14,48.17,35.24,27.53,Low
Chennai,37.67,16540,31.26,Medium,60.8,57.28,42.78,36.14,Medium
Delhi,31.37,11124,27.09,Low,167.32,67.0,34.43,28.36,Low
Bangalore,40.2,12837,16.07,Low,238.27,49.82,42.57,38.37,High
Mumbai,28.67,20583,10.63,High,247.49,87.63,32.88,26.89,Low
Delhi,37.4,22184,19.33,Low,174.75,84.86,42.44,35.43,Medium
Pune,30.64,27447,28.16,High,73.97,41.65,37.23,28.07,Low
Mumbai,33.97,29853,27.18,Medium,145.34,68.1,38.97,30.55,Medium
Delhi,29.84,11109,18.39,Low,283.03,79.47,36.54,27.35,Low
Delhi,39.11,14909,26.47,Medium,107.4,52.27,41.8,37.22,High
Bangalore,30.82,11659,33.48,High,129.94,66.19,33.2,27.16,Low
Bangalore,37.76,6238,5.92,Medium,236.71,60.3,40.71,36.59,Medium
Pune,33.28,27966,20.77,Medium,233.4,49.83,39.91,29.89,Medium
Delhi,34.43,25907,31.55,High,278.05,70.74,40.98,31.07,Medium
Delhi,35.74,20064,24.12,Low,147.03,89.68,38.59,33.98,Medium
Bangalore,31.19,10620,27.8,High,178.65,58.26,33.38,29.6,Low
Mumbai,36.05,6486,23.08,High,166.85,67.62,42.16,32.43,Medium
Mumbai,42.65,9681,39.72,Medium,281.94,56.39,49.78,39.98,High
Chennai,31.11,16490,6.91,High,242.33,83.85,37.63,29.97,Low
Bangalore,40.86,9470,22.19,Medium,257.86,83.23,44.08,37.19,High
Chennai,42.49,27003,8.2,Medium,83.27,48.94,47.99,40.44,High
Bangalore,30.92,29668,10.59,Medium,247.96,85.0,37.46,28.89,Low
Pune,27.72,16723,18.41,Medium,158.24,47.58,31.26,24.79,Low
Delhi,36.51,18888,10.44,Medium,55.83,44.77,41.68,33.53,Medium
Pune,32.26,12177,38.73,Low,65.02,72.65,36.15,30.2,Low
Bangalore,44.34,18201,38.14,Medium,219.48,59.3,47.7,42.91,High
Delhi,35.17,10441,16.76,Low,143.0,66.54,42.99,32.52,Medium
Mumbai,30.99,23224,27.39,Low,267.03,72.63,38.46,28.11,Low
Mumbai,29.26,16719,23.68,Medium,233.57,42.64,33.94,25.68,Low
Chennai,40.45,10397,33.55,High,55.42,54.65,43.27,38.0,High
Bangalore,32.14,6621,26.96,Medium,221.72,63.05,38.51,29.21,Low
Bangalore,35.22,22945,5.01,Medium,98.09,53.33,38.75,34.06,Medium
Mumbai,39.78,27233,31.71,Low,155.65,42.45,42.79,36.1,High
Pune,32.58,22800,31.14,Medium,206.18,44.33,36.87,30.6,Low
Delhi,34.77,9190,22.84,Low,268.18,80.09,39.95,31.87,Medium
Pune,34.92,10054,36.6,Low,164.02,85.57,37.5,31.17,Medium
Pune,38.42,6130,36.8,Medium,252.12,47.61,43.85,34.99,High
Mumbai,37.95,19071,23.34,Medium,245.74,52.46,40.05,35.04,Medium
Mumbai,33.9,24981,26.28,Low,153.63,72.61,41.25,30.79,Medium
Mumbai,35.32,16936,39.88,Medium,175.25,87.71,42.84,31.56,Medium
Chennai,33.14,7118,15.46,High,225.12,54.98,39.54,29.7,Medium
Pune,27.61,5663,16.36,Low,57.79,82.76,32.41,24.78,Low
Bangalore,36.29,24018,11.4,Low,272.7,65.3,39.82,33.31,Medium
Delhi,44.46,20735,36.36,Medium,242.45,87.83,50.93,43.02,High
Chennai,30.58,24158,31.06,Low,112.35,46.81,38.17,28.17,Low
Bangalore,31.13,27578,8.7,High,295.29,88.68,34.09,29.23,Low
Pune,30.65,25353,39.36,Medium,94.85,62.05,35.44,28.35,Low
Mumbai,38.62,24874,30.58,Medium,278.52,87.65,42.51,35.64,High
Pune,37.24,14763,34.77,Medium,131.12,62.93,41.38,35.79,Medium
Delhi,34.21,22907,6.69,Medium,240.79,66.5,38.64,33.16,Medium
Chennai,30.41,13053,22.67,Low,164.09,80.24,38.12,28.22,Low
Chennai,35.46,22371,29.45,High,234.12,76.13,39.01,33.5,Medium
Delhi,27.18,29299,24.0,Medium,88.95,70.98,32.13,24.92,Low
Bangalore,35.72,27787,28.33,Low,117.38,60.85,43.43,31.92,Medium
Bangalore,39.36,26705,33.63,Medium,74.96,79.62,44.21,36.24,High
