State,Year,Population (millions),Annual Rainfall (mm),Agricultural Land (sq km),Industrial Water Usage (billion liters),Domestic Water Usage (billion liters),Groundwater Level (meters below surface),Reservoir Capacity (%),Total Water Consumption (billion liters),Water Shortage Risk
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Tamil Nadu,2013,6.73,2739.1,8740.8,392.48,62.3,36.1,93.6,454.78,No
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Haryana,2004,87.79,2682.3,97527.9,296.91,168.46,43.4,52.7,465.37,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
West Bengal,2007,63.72,3280.6,154800.0,164.56,32.81,19.4,86.4,197.37,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Karnataka,2003,117.77,3874.7,117649.4,77.35,57.93,48.4,94.5,135.28,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Tamil Nadu,2023,93.69,1099.7,42633.9,351.57,120.34,43.1,99.0,471.91,No
Tamil Nadu,2024,11.63,3076.4,187037.6,234.86,215.69,44.0,7.4,450.55,No
Assam,2010,241.7,2766.1,122661.2,471.14,262.39,35.5,15.9,733.53,No
Rajasthan,2020,127.34,3296.0,41528.9,293.73,211.41,2.4,97.3,505.14,No
Uttar Pradesh,2015,4.44,2859.7,145182.6,95.7,56.04,26.1,88.2,151.74,No
Meghalaya,2017,176.66,3973.5,10173.3,264.43,162.27,8.2,42.3,426.7,No
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Jharkhand,2004,11.51,1804.1,184340.5,361.9,233.05,24.6,48.5,594.95,No
Andhra Pradesh,2002,63.59,1925.3,167481.3,301.22,166.65,48.8,53.7,467.87,No
Andhra Pradesh,2007,200.39,512.2,17330.8,256.74,56.03,23.8,90.8,312.77,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Sikkim,2019,177.77,859.6,7370.5,326.23,163.58,10.7,73.8,489.81,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
West Bengal,2006,54.25,2939.2,157220.8,348.24,2.33,6.3,45.5,350.57,No
Kerala,2016,157.36,2139.4,73792.7,56.28,14.13,39.6,29.9,70.41,No
Manipur,2020,103.44,3017.9,117261.4,436.37,100.91,44.6,88.7,537.28,No
Mizoram,2006,63.19,1178.0,188251.3,232.12,69.04,38.7,56.9,301.16,No
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
West Bengal,2025,162.45,898.1,37032.6,397.08,131.48,47.2,43.0,528.56,No
Odisha,2004,40.5,2862.4,34300.1,62.96,32.97,22.7,67.9,95.93,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Sikkim,2015,140.95,3891.5,77969.5,147.61,271.5,20.6,99.3,419.11,No
Tamil Nadu,2016,71.27,2186.9,42231.7,163.86,216.15,18.9,60.9,380.01,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Haryana,2018,20.63,899.8,188946.2,276.72,120.69,32.3,9.4,397.41,Yes
Andhra Pradesh,2016,33.5,2278.4,171580.1,422.12,15.31,2.5,91.0,437.43,No
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Bihar,2000,193.74,3059.6,137711.8,172.02,114.37,23.4,76.1,286.39,No
Manipur,2014,134.32,2830.7,80818.7,314.52,248.77,35.6,63.2,563.29,No
Uttarakhand,2022,196.57,2975.7,98844.4,324.43,125.08,5.2,59.5,449.51,No
Uttar Pradesh,2024,35.66,3168.6,152335.2,131.53,112.59,17.6,83.0,244.12,No
Karnataka,2001,73.39,2149.9,101797.5,39.34,226.26,41.7,7.1,265.6,No
Goa,2013,54.87,3301.7,5452.0,429.28,281.62,18.0,75.3,710.9,No
Andhra Pradesh,2001,33.17,1941.8,1000.7,363.28,9.82,1.4,99.6,373.1,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Punjab,2024,8.83,2318.4,39957.8,339.98,84.18,36.7,85.1,424.16,No
Manipur,2023,243.95,2585.0,17455.6,29.85,220.33,23.4,95.8,250.18,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Kerala,2014,167.68,1617.6,18951.8,132.65,158.27,31.9,28.1,290.92,No
Punjab,2001,50.54,1908.2,4069.2,460.11,241.79,35.7,84.5,701.9,No
Maharashtra,2024,134.42,1170.0,99873.0,487.77,27.19,37.2,13.8,514.96,No
Uttar Pradesh,2011,26.95,2803.8,188883.5,259.55,142.27,6.0,89.7,401.82,No
Himachal Pradesh,2015,215.47,960.4,56990.2,211.86,186.23,32.0,94.2,398.09,No
Uttar Pradesh,2000,149.53,1395.6,39881.3,172.4,185.41,25.9,22.8,357.81,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Tamil Nadu,2008,232.11,2143.7,170313.3,491.11,152.93,7.8,44.9,644.04,No
Odisha,2003,172.07,2406.2,53523.1,159.94,298.22,46.1,63.0,458.16,No
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Goa,2023,102.55,3020.9,72122.1,86.31,273.51,19.0,58.3,359.82,No
Chhattisgarh,2010,95.56,2540.2,87352.3,177.8,162.42,30.3,52.4,340.22,No
Manipur,2011,41.21,2670.4,56580.8,422.16,281.87,30.7,30.1,704.03,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Mizoram,2001,245.29,1469.2,19996.5,96.35,105.4,7.4,15.7,201.75,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Andhra Pradesh,2023,74.3,2889.1,174901.4,23.59,62.66,18.8,42.8,86.25,No
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Arunachal Pradesh,2011,86.07,2336.8,116559.6,307.57,30.0,46.2,18.4,337.57,No
Kerala,2005,90.01,2406.1,37662.3,94.28,12.7,17.6,92.4,106.98,No
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Haryana,2015,209.49,3446.0,155103.7,36.7,214.39,20.8,91.7,251.09,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Punjab,2012,22.48,925.8,191010.6,150.23,287.9,47.5,67.2,438.13,No
Nagaland,2011,79.7,622.4,102261.0,145.95,40.66,10.4,93.0,186.61,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Mizoram,2012,36.45,1717.9,106224.4,275.67,218.78,39.1,82.9,494.45,No
Madhya Pradesh,2005,212.92,3896.6,76094.0,446.97,204.51,1.5,39.4,651.48,No
Gujarat,2019,213.23,1108.7,129490.4,433.21,68.49,9.2,76.7,501.7,No
Maharashtra,2005,32.43,673.0,140661.0,166.39,80.24,37.0,20.2,246.63,No
West Bengal,2005,19.05,3289.4,185817.8,98.83,67.3,18.8,56.3,166.13,No
Mizoram,2005,10.2,2106.3,181946.2,193.06,69.05,42.1,54.3,262.11,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Tripura,2023,159.03,3219.3,22675.0,289.83,84.22,43.2,32.3,374.05,No
Odisha,2013,190.39,3688.0,171854.0,323.7,180.29,22.4,75.4,503.99,No
Madhya Pradesh,2025,5.63,1748.7,167287.3,211.78,96.76,11.0,17.7,308.54,No
Mizoram,2025,222.68,1452.1,163130.4,88.18,271.09,30.2,86.8,359.27,No
Madhya Pradesh,2011,118.48,2995.9,12359.3,181.51,5.66,9.7,63.1,187.17,No
Kerala,2018,184.51,1230.9,15560.5,156.53,283.98,47.9,74.5,440.51,No
Sikkim,2010,46.44,2393.8,48478.7,221.23,295.95,38.9,17.4,517.18,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Meghalaya,2023,81.15,3988.2,36492.4,475.33,82.62,18.4,49.7,557.95,No
Bihar,2001,64.01,1065.6,109209.1,488.42,77.53,4.8,84.9,565.95,No
Rajasthan,2013,41.25,1022.4,193814.9,94.52,161.5,21.4,56.8,256.02,No
Odisha,2003,172.07,2406.2,53523.1,159.94,298.22,46.1,63.0,458.16,No
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Bihar,2000,120.94,3416.9,154598.4,173.65,239.54,44.8,55.6,413.19,No
Uttarakhand,2005,14.89,3574.0,71583.2,478.5,52.13,38.2,47.7,530.63,No
Gujarat,2010,161.33,3157.5,183294.2,362.1,153.08,30.1,37.4,515.18,No
Uttarakhand,2014,248.38,1906.0,148236.7,339.58,130.24,2.5,43.9,469.82,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Rajasthan,2020,245.42,2669.6,198473.9,301.19,167.79,44.1,33.3,468.98,No
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Arunachal Pradesh,2019,133.05,3903.3,10408.0,156.32,253.74,8.7,53.5,410.06,No
Sikkim,2006,28.41,3433.4,66593.7,36.67,148.3,40.2,85.3,184.97,No
Jharkhand,2012,50.02,814.6,34266.3,289.03,104.49,8.6,36.7,393.52,No
Madhya Pradesh,2023,57.54,1065.4,49511.7,180.87,129.0,47.0,66.7,309.87,No
Himachal Pradesh,2024,237.31,3560.7,22231.7,176.84,2.4,25.6,67.3,179.24,No
Madhya Pradesh,2015,27.31,2341.9,85440.8,458.54,217.75,25.0,64.3,676.29,No
Sikkim,2006,28.41,3433.4,66593.7,36.67,148.3,40.2,85.3,184.97,No
Mizoram,2000,45.58,1734.2,120429.7,419.76,216.7,22.1,72.1,636.46,No
Jharkhand,2025,59.24,893.1,43431.5,441.36,105.64,2.2,73.0,547.0,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Nagaland,2000,220.09,2094.9,87240.7,382.18,259.25,11.2,75.3,641.43,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Chhattisgarh,2009,160.59,1763.8,129326.9,105.46,280.11,47.5,74.9,385.57,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Tripura,2014,15.48,2905.3,160501.5,76.54,40.15,16.3,9.0,116.69,No
Manipur,2021,118.85,3927.5,175471.8,5.35,83.49,34.0,18.3,88.84,No
Bihar,2024,226.15,909.8,139607.2,131.98,280.0,21.2,9.8,411.98,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Nagaland,2010,189.57,2855.8,85359.0,145.38,26.0,41.2,80.8,171.38,No
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Uttar Pradesh,2009,107.27,1235.7,42929.4,409.43,166.9,30.4,65.1,576.33,No
Odisha,2024,124.81,1697.0,199317.0,418.48,67.04,49.3,69.1,485.52,No
Himachal Pradesh,2015,29.11,2110.7,47410.2,93.93,161.56,42.8,96.7,255.49,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Telangana,2016,138.32,1634.8,197603.5,3.17,127.9,10.0,38.2,131.07,No
Sikkim,2005,102.74,3867.1,89624.7,205.28,241.68,21.3,15.0,446.96,No
Madhya Pradesh,2023,246.9,1818.9,43528.4,143.47,289.75,34.9,67.1,433.22,No
Chhattisgarh,2024,139.77,2699.6,144471.5,282.69,262.74,8.3,97.8,545.43,No
Telangana,2020,165.66,3513.8,170429.1,345.26,236.37,15.5,91.3,581.63,No
Madhya Pradesh,2005,113.79,1952.1,75363.3,73.91,202.85,38.4,73.3,276.76,No
Goa,2007,168.33,3680.4,109206.9,413.89,153.13,22.6,5.2,567.02,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Tamil Nadu,2009,243.33,986.9,163465.9,396.71,287.49,28.3,78.9,684.2,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Haryana,2002,174.65,1897.0,49686.2,214.56,207.76,21.9,10.9,422.32,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Arunachal Pradesh,2018,111.61,524.6,87263.7,440.96,105.99,4.5,81.4,546.95,No
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Sikkim,2004,51.08,563.8,192505.9,426.76,78.64,42.3,54.3,505.4,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Uttarakhand,2011,121.57,3213.7,13542.3,246.82,25.49,36.3,5.6,272.31,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Himachal Pradesh,2012,180.76,3264.8,164164.7,19.57,165.43,10.3,96.6,185.0,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Assam,2022,20.68,2303.1,124813.8,96.17,220.0,18.8,14.2,316.17,No
Himachal Pradesh,2019,5.0,2794.4,32345.2,138.19,217.71,44.5,32.6,355.9,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Assam,2001,203.12,1243.0,154429.1,60.32,103.55,47.3,97.3,163.87,No
Telangana,2025,124.44,3631.7,28901.7,13.16,36.56,25.1,47.6,49.72,No
Arunachal Pradesh,2018,133.33,3695.3,70766.4,366.62,285.44,42.9,31.3,652.06,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Madhya Pradesh,2023,114.48,2484.2,42558.0,420.86,6.56,24.2,6.4,427.42,No
Telangana,2005,200.17,2830.9,34831.5,357.63,168.98,22.4,57.6,526.61,No
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Gujarat,2019,198.01,1196.8,133259.8,155.79,252.13,36.7,64.8,407.92,No
Bihar,2017,196.32,793.3,6521.5,422.15,1.07,44.1,11.9,423.22,Yes
West Bengal,2004,86.59,2101.9,46309.8,344.53,232.7,48.0,60.2,577.23,No
Punjab,2022,233.18,3342.9,43197.7,127.72,177.93,44.4,58.5,305.65,No
Odisha,2005,62.05,3061.2,169232.6,7.06,22.76,4.9,6.7,29.82,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Chhattisgarh,2014,33.56,2349.8,4169.7,56.9,175.3,28.0,5.2,232.2,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Manipur,2000,93.29,1354.5,14571.6,377.74,182.77,36.9,8.6,560.51,No
Haryana,2011,119.89,3106.3,83373.3,413.32,124.75,43.7,41.3,538.07,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Kerala,2001,134.18,2084.5,65570.0,481.65,28.29,37.9,73.4,509.94,No
Punjab,2002,27.78,3134.8,20224.3,180.31,218.3,40.7,54.3,398.61,No
Odisha,2020,222.0,1325.1,123453.6,375.2,214.04,13.6,85.0,589.24,No
Sikkim,2018,91.1,3837.4,85645.7,164.96,84.73,34.2,70.8,249.69,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Gujarat,2001,180.4,2443.1,180805.6,337.73,20.75,25.6,99.9,358.48,No
Andhra Pradesh,2005,198.83,3041.9,178069.4,345.05,71.11,28.4,62.1,416.16,No
Jharkhand,2019,194.2,1871.4,36197.5,21.3,182.64,42.1,54.1,203.94,No
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Uttar Pradesh,2006,133.75,2931.1,111409.9,329.43,60.93,10.2,77.5,390.36,No
Uttar Pradesh,2006,178.02,3963.7,37961.9,98.21,148.19,35.9,75.5,246.4,No
Jharkhand,2021,69.11,1178.4,192909.5,62.74,202.02,29.7,91.3,264.76,No
Telangana,2021,162.39,2246.8,196194.8,406.68,194.88,29.8,61.9,601.56,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Uttarakhand,2010,97.85,1161.3,40644.2,321.74,23.01,4.5,77.2,344.75,No
Uttarakhand,2011,91.03,2182.0,165354.8,73.06,35.55,25.3,71.2,108.61,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Sikkim,2022,16.51,869.9,33702.7,429.34,23.75,22.4,11.9,453.09,No
Goa,2011,61.12,3322.3,129790.4,314.32,262.26,42.5,18.0,576.58,No
Telangana,2006,28.18,2295.5,7900.8,28.46,191.48,15.8,25.2,219.94,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Telangana,2002,166.94,1050.9,186823.6,190.84,243.72,47.7,68.1,434.56,No
Madhya Pradesh,2018,176.79,2111.1,6156.9,274.26,99.78,49.2,69.3,374.04,No
Assam,2005,4.44,1241.0,93573.5,27.19,86.01,20.9,42.1,113.2,No
Uttar Pradesh,2022,136.5,3149.8,38989.5,484.44,92.65,28.0,12.2,577.09,No
Kerala,2001,20.0,3861.1,65682.8,144.17,237.16,9.2,63.4,381.33,No
Kerala,2002,174.3,3823.5,185924.4,458.35,204.17,43.2,20.6,662.52,No
Nagaland,2001,27.65,2180.8,18749.6,179.61,115.66,20.2,15.6,295.27,No
Himachal Pradesh,2012,88.03,510.8,88075.0,469.5,219.34,42.0,35.0,688.84,No
Nagaland,2016,221.08,2439.7,72929.3,256.5,247.82,19.6,38.2,504.32,No
Kerala,2018,105.35,1648.9,74444.7,310.38,207.91,12.0,67.5,518.29,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
West Bengal,2021,20.49,939.2,107610.9,288.53,111.7,33.5,65.9,400.23,No
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Punjab,2017,199.31,2060.0,148125.4,216.96,70.46,6.3,36.1,287.42,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Himachal Pradesh,2010,216.72,3094.1,12817.7,411.24,102.4,6.6,43.4,513.64,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Gujarat,2004,237.21,3577.6,191225.8,155.65,12.68,32.1,49.3,168.33,No
Kerala,2007,98.97,1409.9,150376.2,343.95,255.8,22.9,90.0,599.75,No
Assam,2013,156.07,3299.2,41751.1,472.84,250.78,9.0,58.9,723.62,No
Odisha,2007,157.36,1021.3,145054.9,301.1,26.06,23.6,87.0,327.16,No
Telangana,2003,41.59,1338.2,83306.4,2.87,280.19,48.2,54.1,283.06,No
Mizoram,2023,224.23,3420.0,165477.2,385.52,35.92,6.9,98.3,421.44,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Mizoram,2012,123.16,597.9,85997.4,54.67,102.18,44.2,39.3,156.85,No
Goa,2008,205.17,1203.7,151534.5,191.72,113.47,32.8,51.4,305.19,No
Rajasthan,2003,13.53,2734.1,62335.8,389.17,214.61,35.9,25.1,603.78,No
Tripura,2017,118.51,3937.9,28034.3,283.73,215.28,7.8,83.6,499.01,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Manipur,2007,9.37,2325.0,145302.0,5.22,82.85,18.4,18.6,88.07,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Tripura,2024,113.98,2565.8,161274.7,144.3,283.24,3.8,36.6,427.54,No
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Goa,2004,199.51,2865.5,133471.4,219.52,299.89,33.2,35.9,519.41,No
Bihar,2017,196.32,793.3,6521.5,422.15,1.07,44.1,11.9,423.22,Yes
Andhra Pradesh,2024,123.74,2892.3,107874.6,36.46,216.33,26.7,13.3,252.79,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
West Bengal,2011,51.31,1816.2,187157.0,308.67,96.18,23.4,61.9,404.85,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Tamil Nadu,2023,243.99,860.5,168686.2,282.01,203.24,49.5,78.3,485.25,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Manipur,2013,43.8,660.0,179350.5,21.0,206.02,10.9,89.8,227.02,No
Haryana,2005,175.11,2242.0,71129.0,113.39,44.11,28.5,37.6,157.5,No
Odisha,2015,3.31,3527.8,129584.4,201.8,187.94,23.9,55.3,389.74,No
Uttar Pradesh,2006,133.75,2931.1,111409.9,329.43,60.93,10.2,77.5,390.36,No
West Bengal,2000,7.75,1185.3,91049.5,275.78,109.43,25.9,85.6,385.21,No
Karnataka,2018,227.53,2020.3,109684.4,37.35,98.98,41.8,97.3,136.33,No
Meghalaya,2019,220.94,2054.3,19947.7,347.51,75.87,44.1,69.1,423.38,No
Uttar Pradesh,2015,121.73,1418.3,102305.8,326.65,293.74,31.5,48.8,620.39,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Telangana,2008,235.31,2544.6,169900.8,403.72,6.34,4.6,64.1,410.06,No
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Bihar,2022,28.02,3712.4,108512.9,58.03,49.31,40.0,43.2,107.34,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Gujarat,2017,105.38,2856.7,43516.7,387.09,47.95,23.7,41.4,435.04,No
Assam,2015,241.64,761.8,116236.1,96.44,55.09,4.8,91.7,151.53,No
Manipur,2023,199.91,1864.4,50017.2,403.22,209.36,29.9,90.0,612.58,No
Himachal Pradesh,2008,66.78,3920.4,19848.7,340.28,181.75,20.9,86.1,522.03,No
Nagaland,2022,90.91,2708.0,148267.0,313.15,146.19,23.2,46.8,459.34,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Arunachal Pradesh,2007,36.51,864.9,197676.9,140.78,165.72,1.7,95.7,306.5,No
Manipur,2000,228.44,1009.0,64101.9,360.84,114.43,45.3,96.4,475.27,No
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Jharkhand,2002,44.78,3431.2,167204.0,497.67,120.46,36.0,74.8,618.13,No
Uttarakhand,2006,213.17,3279.2,149874.0,39.69,103.14,35.9,60.7,142.83,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Chhattisgarh,2020,12.57,1139.0,65359.2,289.52,4.87,40.2,94.1,294.39,No
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Haryana,2001,127.34,2802.8,178926.5,385.24,191.01,20.3,22.8,576.25,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Madhya Pradesh,2018,224.22,738.1,166950.3,447.34,249.49,2.1,73.8,696.83,No
Arunachal Pradesh,2023,135.7,3627.0,48466.5,368.49,296.01,32.3,99.1,664.5,No
